username,channel,message
salmonmakirolls,#jinnytty,NOOO
millennialgodfather,#jinnytty,what
hugochowsky,#jinnytty,NOOOOOOOOOOOOOOOOO
medsup7,#jinnytty,😬SCAM🚨
crunchiumo,#jinnytty,SCAM
jetjelly,#jinnytty,HUH???
ik1gai,#jinnytty,runnnnnm
valkult_yakult,#jinnytty,NOOOOOOOOOOO
balasparkle,#jinnytty,dont
merlinshappytrail,#jinnytty,wtf
maikeldruffy,#jinnytty,stopppppppppp
zukakiii,#jinnytty,SCAM
mesh_17,#jinnytty,NOOOOOOOOOOOO 󠀀
uhstrayed,#loltyler1,BigBrother 💎 📈 🟪 BigBrother 📉 BigBrother 💎
ramenzx7,#jinnytty,nooooo
thechuckyd0ll,#jinnytty,scam!
kormikk,#jinnytty,what
joonniology,#jinnytty,NOOO
daxtrom,#jinnytty,NOOOOOOOOO
dr_bobkelso,#jinnytty,550
paracule_,#jinnytty,SCAM
slyf0x__,#jinnytty,20 min KEKBOOM
anonymouschicken,#jinnytty,20 MINS?! OMEGALUL
ploytoy,#jinnytty,noooooooooooooooooooo
kuroxxu,#jinnytty,NO
chedg,#jinnytty,LUL scam
jinyoung95,#jinnytty,NOO JINNY WHAT
vincentt23,#jinnytty,SCAM
mrscruffz,#jinnytty,NOOOOOOOOOOOOOOOOOOOOO
inursh,#jinnytty,LUL no
snowychz,#jinnytty,RUN SCAM
law_eth,#jinnytty,NO
baperask1377,#jinnytty,OMEGALUL
lordnantha,#jinnytty,bro it's scam
genzo83,#jinnytty,itd scam protector KEKW
ngchunhong69,#jinnytty,Thats a good scam you mean
xprocyon_typea,#jinnytty,NO PLS T^T
mrelementdj,#jinnytty,just don't put any screen protectorr
arron1190,#jinnytty,scammm
xansie,#jinnytty,TOK DIA
p0ge,#loltyler1,Clueless
whyth0ugh0,#loltyler1,@loltyler1 have you tried any korean food yet?
lightsir_,#jinnytty,its not good KEKInsane  󠀀
garuna_m6,#jinnytty,NOOO
grimmscore,#jinnytty,20m? cdawgOmegalul
redcrimson82,#jinnytty,wtffff
fifitwitchgames,#loltyler1,"midbeast is not crying, yall leave him alone"
batsssssss,#jinnytty,OMEGALUL
happyfluffyteddy,#jinnytty,expensive
midzykt,#jinnytty,RUN
scratchypanda,#jinnytty,Nooooo
englishhq,#jinnytty,SCAM
baboshinxd,#jinnytty,Wtffff
ward_c17,#jinnytty,exbcScam exbcScam
zukakiii,#jinnytty,Scam
hubshrimp,#jinnytty,55??
jyts8,#jinnytty,no pls jinny
malcolmee,#jinnytty,KEKW
heisenberg1121,#jinnytty,KEKBOOM
mrscruffz,#jinnytty,JINNY NOOOOOOOOOOOOO
furyhawk,#jinnytty,wtf
civilisedmonke,#jinnytty,nooooooo
ernieskz,#jinnytty,NNOOOOOOOOOOOOOO
reeburn,#jinnytty,no
mouyong1209,#jinnytty,PLS DONT BUY
modplsnobannerino,#jinnytty,BRUH 50 for a screen protector is a scam
sour_space_candy,#jinnytty,LOL
redcrimson82,#jinnytty,nooo
crunchiumo,#jinnytty,SCAM SCAM
tlilxochitl,#loltyler1,PotFriend
ik1gai,#jinnytty,pls dontt
rainb0wberry,#jinnytty,SCAM 50 too much
pfii,#jinnytty,SCREEN ALIGNMENT KEKW
novembersleeps,#jinnytty,NO WAY
val36e,#loltyler1,Copeler1
lordnantha,#jinnytty,wtf
godleg4cy,#jinnytty,SCAM
yungzoox,#loltyler1,!rank
oiies,#loltyler1,cjluciFf
8ayxii,#jinnytty,NOOOOOOOOOOOOOOO
zerofgd,#jinnytty,NO
simge666,#jinnytty,SWCA MMM
groovypenguin,#jinnytty,wth
sykeeess,#loltyler1,true...
baboshinxd,#jinnytty,No
zzhope,#jinnytty,from 65 to 50 KEKWiggle
cmai,#jinnytty,NO WTF??????
lightsir_,#jinnytty,its not good KEKInsane
archb0x,#jinnytty,?
thebulleyes,#jinnytty,50???
dparade,#jinnytty,SCAMMED
medsup7,#jinnytty,WHATT
paracule_,#jinnytty,KEKW
snowychz,#jinnytty,WTF
catseie,#jinnytty,HUH
malaysiandurianvendor,#jinnytty,20 min
deadpixel21,#jinnytty,OMEGALUL
bdbdabruh,#jinnytty,wtf
fossabot,#loltyler1,"@yungzoox, ACCOUNTS: BIG TONKA T is currently Master I 138 LP"
wumbiie,#loltyler1,Yone E tyler1R
happyfluffyteddy,#jinnytty,expensive
pvdb1505,#jinnytty,LOLOL
zerofgd,#jinnytty,SAY FUCKING NO
iu_husband,#jinnytty,wtf
hugochowsky,#jinnytty,SCAMMEDDDDDDDDDDDDD
grimmscore,#jinnytty,what? LULW 20m
emiliemunster,#jinnytty,Skin protector im ded
widedomi,#jinnytty,they SCAMMED
mrkoayyy,#jinnytty,NOOOOOOOOOOOOOOOOOOOOOO
maikeldruffy,#jinnytty,FCK THAT KEKInsane
vibecheckval,#loltyler1,!rank
8ayxii,#jinnytty,RUNNNNNNNN
chickenluck,#jinnytty,NO
dazzzxxx,#jinnytty,go around first jinny
steegersr,#jinnytty,SCAMMMM BRUH
batsssssss,#jinnytty,20 min???
dhika_bagus,#jinnytty,why is indoneisa
c0zyk1d,#jinnytty,NOOOOOOOOOOOOOO
dho_st,#jinnytty,how much LULE
nobva,#jinnytty,NOOOOOOOO
zay_ih,#jinnytty,LULW
zoroagha,#jinnytty,no
sandirap,#jinnytty,sandirS sandirS sandirS sandirS sandirS sandirS sandirS sandirS sandirS sandirS
reeburn,#jinnytty,NO
archb0x,#jinnytty,20
d_superman,#jinnytty,So long? LUL
midzykt,#jinnytty,SCAM
pvtpts,#loltyler1,BigBrother
zoun19,#jinnytty,"NO JINNY, IT'S SCAM"
virtual_being,#jinnytty,BRUH WHY
haise_1739,#jinnytty,hell mah
cronoz65,#jinnytty,EZ
lulwban,#jinnytty,NOT EASY
imagineily,#jinnytty,GO TO NINJAZ
shelbro,#jinnytty,SCAM
yingpeng93,#jinnytty,KEKW
limauais_,#jinnytty,NOOOOOOOOOO SCAM
cracious9,#jinnytty,HUH 20 MINS??
mischief0u5,#jinnytty,SCAM
daxtrom,#jinnytty,ACTUAL DUMBASS OMEGALUL
roorzy,#loltyler1,GWEN
znjrb,#loltyler1,!song
redcrimson82,#jinnytty,i can giv eu 10
nevernothungover,#jinnytty,LUL
magrenar,#jinnytty,HUH
inursh,#jinnytty,they gonna open your phone
c0zyk1d,#jinnytty,NINJAZZZZZZZZZZZ
ramenzx7,#jinnytty,take it back
divinegenre,#jinnytty,20 mins wtf
haise_1739,#jinnytty,SCAM
zeroming92,#jinnytty,20mins = datas gone
hydrochloride10mg,#jinnytty,he installing spyware
izumiaakazawa,#jinnytty,what
overpoweredcat1211,#jinnytty,no
uchen640,#jinnytty,NOOOOO why 20 MINUTESSSSSS
heisenberg1121,#jinnytty,so easy
balasparkle,#jinnytty,suspicious af
viserysam,#jinnytty,???? 20???
smsm9879,#jinnytty,시간도 돈이다
zzhope,#jinnytty,20mins to hack your phone
jasona01,#jinnytty,KEKW
fellowyv,#jinnytty,20 mins for screen protector WTFF?
tech_irl,#jinnytty,20 min?
pupoo621,#jinnytty,NOOOOO
lulwban,#jinnytty,HOW
adrian_87_,#jinnytty,SCAM
jjo_ya,#jinnytty,rm50 wtf
iampurplegirl,#jinnytty,SCAM in coming
zoroagha,#jinnytty,nono
civilisedmonke,#jinnytty,noooo  jinyyy
mrelementdj,#jinnytty,20 minutes???
babalazoo,#jinnytty,20 mins wtf
malaysiandurianvendor,#jinnytty,-50
free3ze,#loltyler1,cbrahEU Soloq sends their regards
professionalko,#jinnytty,550 ???
i_horus_i,#jinnytty,jinny
doinghumanstuff,#jinnytty,HACKERMANS
akimori_,#jinnytty,20 mins?!
jondoni,#jinnytty,meh well its around 10
doin_mystyle_ofsumo,#jinnytty,TOO EXPENSIVE
blueblooper,#loltyler1,succ them I suppose Tyler
p0ge,#loltyler1,this game is dogshit man dont lie to yourself
875695,#loltyler1,because so much broken shit KEKW
fofilein_,#loltyler1,🤡
fluffyfaun,#loltyler1,!rank
happyfluffyteddy,#jinnytty,too expensive
yus1785,#loltyler1,BigBrother
zoroagha,#jinnytty,nooooooooooooooooo
massh0lian,#jinnytty,20 mins?
maverickdale,#jinnytty,it takes 2 minutes haha
fossabot,#loltyler1,"@FluffyFaun, ACCOUNTS: BIG TONKA T is currently Master I 138 LP"
park_kyu_ho,#jinnytty,20min????
xiangkekleo,#jinnytty,nooooo
kjusen,#loltyler1,@BlueBlooper in my arms mate. don't worry
hiddeninshroud,#jinnytty,WideHardo downloaded all pictures
millennialgodfather,#jinnytty,whats wrong with you
jokubasnas,#loltyler1,lturepHypeshake
zulul24,#jinnytty,50?
yumetzy,#jinnytty,at my place only 10 DansGame
kewitriuf,#jinnytty,infront of you
xprocyon_typea,#jinnytty,RIP
kaitypure,#jinnytty,20mins LUL
maikeldruffy,#jinnytty,FOK THAT KEKInsane
mouyong1209,#jinnytty,? ?
karikambin,#jinnytty,NOOOOOOOOOOOO
moonlith2021,#loltyler1,S8
joonniology,#jinnytty,EZ scam
baddemon90,#jinnytty,20 minutes HUH
mischief0u5,#jinnytty,SCAM SCAM SCAM SCAM SCAM
bdbdabruh,#jinnytty,Pls wtf
salmonmakirolls,#jinnytty,hell expensive jinny
gus_________________,#jinnytty,20 minutes???
iciclesfrost,#jinnytty,No
juggre,#jinnytty,its 12 dollar jesus chat
aojc1992,#jinnytty,"10 AT BEST, WTF 50?"
inoczin,#jinnytty,LUL
8ayxii,#jinnytty,RUNNNNNNNNNNN
ugworm_,#jinnytty,50 is good chat. Your RM5 protector is dogshit
godzilla8939,#jinnytty,LULE Why no
lulwban,#jinnytty,HOW TF
darthlly,#jinnytty,NOOOOO
whoszan,#jinnytty,actual dumbass
allexxx1996,#jinnytty,Chatting  SCAM Chatting SCAM Chatting SCAM Chatting SCAM Chatting SCAM
tyyxenonkl,#jinnytty,lol
ik1gai,#jinnytty,he lied
zoun19,#jinnytty,WWWWWWWWWWWTF Popoga
zaintsniper123,#loltyler1,BigBrother
steegersr,#jinnytty,-50
itsclashgod,#jinnytty,20min
dazzzxxx,#jinnytty,wtf jinny
redcrimson82,#jinnytty,RM 10
joro_ope,#loltyler1,"Yo you should visit faker, since you are in Korea"
lurserino,#loltyler1,god 17.mai
happyfluffyteddy,#jinnytty,too expensive
alvocadot,#jinnytty,LULW dumb sniper
emmet_are,#jinnytty,kedai ustaz..but..welll..what can i do..just enjoying the view..
magrenar,#jinnytty,HUH 20 MINUTES TO SELL YOUR PHONE
lwo_owl,#jinnytty,YO SNIPERS HELP HER
zoroagha,#jinnytty,noooooooooooooooo
i_horus_i,#jinnytty,Jesus Christ
dodiethebasic,#jinnytty,KEKInsane
adam_2_0_2_2,#jinnytty,wtf
scamstars1,#loltyler1,Blabbering
anonymous5341,#jinnytty,SCAMMM
almondmilk1254,#loltyler1,harass cn BigBrother
youabsolutelegend,#jinnytty,keep eye on phone.. sus
chickenluck,#jinnytty,HE SWAP PARTS
justeetuu,#jinnytty,2o min nooo
zim266,#jinnytty,Why dude run away with your phone
r8yyy,#jinnytty,too expensive
widedomi,#jinnytty,ACTUAL SCAMMED OMEGALUL
vincentt23,#jinnytty,SCAM 󠀀
kipseu,#jinnytty,NINJAZZZZZZZZZZ
renu7900,#jinnytty,no
c4ptron,#jinnytty,10$ for plastic cover
mrelementdj,#jinnytty,20 minutes??? super sus KEKW
garuna_m6,#jinnytty,HACKERMANS
aloneingalaxy,#loltyler1,Squid1 Squid3 Squid2 Squid4
tonytracks1,#jinnytty,is phone locked?
miqaelchim,#jinnytty,Bo
suckkyyyyy,#jinnytty,50 too much
priyaraj10,#jinnytty,20 MINUTES?????
lebai_xo,#jinnytty,its too long
remzy3,#jinnytty,Clueless its fine
wheelchair_bobby,#loltyler1,2 waffle sandwiches that'll put you at 700 calories what are you going to eat for your last 300 calories?
zoroagha,#jinnytty,n
baboshinxd,#jinnytty,Sniper help her
al_alfin,#jinnytty,"thats not samsung centre, scammmm"
arcwraiths,#jinnytty,just let her get scammed she dont care
itsnotmyforte,#jinnytty,KEKBye phone
steegersr,#jinnytty,RIP
ksecuni,#jinnytty,nooooooo lmao
c0zyk1d,#jinnytty,GO NINJAZ Prayge GO NINJAZ Prayge GO NINJAZ Prayge GO NINJAZ Prayge GO NINJAZ Prayge GO NINJAZ Prayge
mion997,#jinnytty,defenitely can get it cheaper
meewwoosh,#loltyler1,EUNE CHALLANGE NEXT BigBrother They int as much as you BigBrother
invisuo,#loltyler1,sup tyler
sykeeess,#loltyler1,based
butt_cracks_,#jinnytty,how much?
miqaelchim,#jinnytty,No
happyfluffyteddy,#jinnytty,too expensive
xprocyon_typea,#jinnytty,20 mins too long
whoszan,#jinnytty,20 mins for what?
armand74u,#jinnytty,Stay there lol
erehhhhhh139,#jinnytty,ninjaz
batsssssss,#jinnytty,Kekspin
tknuke,#jinnytty,30-50 ok I guess
ziko267,#jinnytty,no no no
snowychz,#jinnytty,HOLY SCAM
sodafountain17,#loltyler1,138 LP Pog
hangloose2,#jinnytty,WhatChamp WhatChamp
hasruliberahim1,#jinnytty,lol
lightsir_,#jinnytty,holy shit
kloud7_,#jinnytty,20 min?
vibin1nthevoid,#jinnytty,SCAM  SCAM  SCAM
zoun19,#jinnytty,Popoga
akimori_,#jinnytty,20 mins for hacking
dongdongislove,#jinnytty,20mins veiSleep
spicytomatoes,#jinnytty,shady
abamzeemo,#jinnytty,5 mins
hoolixz,#loltyler1,SAY BLYAT
lebai_xo,#jinnytty,get out
zeamers,#jinnytty,WHAT 20 MINS? OMFG
takethislolipop,#loltyler1,BigBrother facts brother
genzo83,#jinnytty,IT LITERALLY TAKES 5 mins to do it btw
noblahaj,#jinnytty,why does it take 20 minutes for a fucking screen protector?
aahniky,#jinnytty,protect our skinnnn
allexxx1996,#jinnytty,Chatting SCAM Chatting SCAM Chatting SCAM Chatting SCAM Chatting SCAM
no0blingg,#jinnytty,UV cover would be good
slyf0x__,#jinnytty,WhatChamping 20 min wtf
romanticizng,#jinnytty,wayyy too expensive
selenaa_gomez,#jinnytty,HUH
f0oman,#jinnytty,lol so hacked
fofilein_,#loltyler1,modaraiton monkaW  ?
yus1785,#loltyler1,BigBrother !!!!!!
merbs,#jinnytty,its not the glass protector
dho_st,#jinnytty,how much??? LULE
xiaolu87,#jinnytty,50 for screen protertor?
alice_913,#jinnytty,easy hack
existenceofenigmas,#jinnytty,20 minutes too long yea
9ekko,#jinnytty,ForskinCD
acezun,#jinnytty,phone GONE
tone_e,#jinnytty,chat  losing there minds over a few bucks KEKL
ik1gai,#jinnytty,u can get rm20
justeetuu,#jinnytty,rip nooo
ntic__,#jinnytty,20 minutes????
zoroagha,#jinnytty,noooooooooooo
magrenar,#jinnytty,KEKBye
875695,#loltyler1,true LULW
civilisedmonke,#jinnytty,it's too expensive
baddemon90,#jinnytty,I can do it 10 secound
gunerjay,#jinnytty,HACKERMANS Im in
truedrag0n,#jinnytty,20 minutes plus $55 wtf
smithy5555555,#loltyler1,!rank
chickenluck,#jinnytty,MAY SWAP PARTS
treyu_7,#jinnytty,she'll break the screen some how
vincentt23,#jinnytty,YEP too long
mky4488,#jinnytty,MALWARE
fossabot,#loltyler1,"@smithy5555555, ACCOUNTS: BIG TONKA T is currently Master I 138 LP"
park_kyu_ho,#jinnytty,but why 20min lol?
yvan_nix,#jinnytty,relax chat LUL
ricecrispies,#jinnytty,KEKW Sniper Laughing
iu_husband,#jinnytty,20mins so too long
damusagi,#loltyler1,FACTS
machiek,#loltyler1,"midbeast is 100x more successful than all you rejects calling him shit and irrelevant, just FYI"
alvocadot,#jinnytty,LULW useless sniper LULW useless sniper LULW useless sniper LULW useless sniper
daxtrom,#jinnytty,NOT GLASS OMEGALUL
ayoka_,#jinnytty,u can look for another shop 4Shrug
worthwordz,#jinnytty,What?
wy0304,#jinnytty,at least do it 5 mins
divinegenre,#jinnytty,stay there he might do something with phone
jelemiah_,#jinnytty,go to ninjaz
sam_ggx02,#jinnytty,KEKW 20 min copying data
113071z,#jinnytty,gonna change your phone for bad parts
subprimebonds,#jinnytty,20 mins KEKL
d_superman,#jinnytty,I can get it done in 5 mins man LUL
naz94x,#jinnytty,run
acelitor,#loltyler1,did the last game get dodged?
p0rschep,#loltyler1,!rank
tonytracks1,#jinnytty,lock phone
hangloose2,#jinnytty,WhatChamp
honda_nsx_gt,#loltyler1,Like me BigBrother
vincentt23,#jinnytty,YEP  too long
ogrr8,#jinnytty,RIP DATA
jokubasnas,#loltyler1,lturepWidepeepoleft lturepWidepeeporight
helioo_,#jinnytty,UGHHH
ohbee1,#jinnytty,the phone is getting cloned
jin92shaun,#jinnytty,He’s stealing info
shadoom23,#jinnytty,copy the whole phone in 20 minutes LULW
arron1190,#jinnytty,swapping phone
voyz,#loltyler1,at least you are self aware
jjo_ya,#jinnytty,20 min wtf
jasona01,#jinnytty,JEJW
hydrochloride10mg,#jinnytty,HACKERMANS
ziko267,#jinnytty,no
terryzai87,#jinnytty,"too long, follow him"
airbomb24,#jinnytty,IS FINE
logicalforce,#jinnytty,KEKBye data wiped
ward_c17,#jinnytty,from s22 to s10
sloppysoapyy,#jinnytty,20 minutes Kappa
cmai,#jinnytty,TAKE THE PHONE ??????????
happyfluffyteddy,#jinnytty,call him over
k8_o0,#jinnytty,power off the phone?
jeffrey6301,#jinnytty,KEKBye
reeburn,#jinnytty,go
darthlly,#jinnytty,50+80 BTW
vgvirt,#jinnytty,ask to see it
lordnantha,#jinnytty,20 min rm 50 it's scam scam
chickenluck,#jinnytty,NO
izumiaakazawa,#jinnytty,hacking phone
imagineily,#jinnytty,RUN
alvocadot,#jinnytty,LULW useless sniper LULW useless sniper LULW useless sniper LULW useless sniper LULW useless sniper
zoroagha,#jinnytty,nooooooooooooooooo
stolen_winnebago,#loltyler1,@joro_ope tru
lord_josh9,#jinnytty,20 min for that naa
xprocyon_typea,#jinnytty,CHASE
selmotv,#jinnytty,go ninjaz
rikyu_sakurai,#jinnytty,it takes 5 min
lightsir_,#jinnytty,KEKW
blackicy,#jinnytty,-1
nevernothungover,#jinnytty,Guys she’s a millionaire yyjMods
9000jjman,#loltyler1,is gwen op
michaeltth,#jinnytty,LUL
jasona01,#jinnytty,KEKW
tinytwic,#loltyler1,so you're saying im a bit of a problem
sexy_vitamin_d,#jinnytty,20 min to clone data
elegs,#jinnytty,bye phone KEKBye
thebulleyes,#jinnytty,CANCEL IT
gunerjay,#jinnytty,HACKERMANS Im in HACKERMANS Im in HACKERMANS Im in
r4sr4,#jinnytty,Mytty you’re getting malayed
zenzhiin,#jinnytty,20 min too long to put screen protector
reeburn,#jinnytty,RUNN
free3ze,#loltyler1,tyler1Bad
juventino8,#jinnytty,turn off the phone so they cant realyl do much on it
sour_space_candy,#jinnytty,20 min HACKERMANS
deliverance817,#jinnytty,LUL
naz94x,#jinnytty,CHASE HIM DOWN
professorgrandma,#loltyler1,tribunal PepeLaugh
4head1234,#jinnytty,downloading data
mulliebae,#jinnytty,jinny is so pure really
peaceful85,#jinnytty,KEKBye
bennymiaka,#jinnytty,Ya 20 mins its too long
kojou_yukihira,#jinnytty,KEKWobble
sirhanniballecter_,#jinnytty,KEKBye
zeroming92,#jinnytty,HACKERMAN MOMENT
jordanchong_05,#jinnytty,DUDDDEEEEEEE
dontmindme_09,#loltyler1,MAINLY PEOPLE THAT PLAY IT
xiangkekleo,#jinnytty,swapping phone
yus1785,#loltyler1,BigBrother TELL THEM
heartcore1,#jinnytty,xD
noblahaj,#jinnytty,EZ Clap
wikedlyrics,#jinnytty,KEKBye
shijinhp,#jinnytty,LMAO
jelemiah_,#jinnytty,OMEGALUL
priyaraj10,#jinnytty,OMEGALUL RUN
mischief0u5,#jinnytty,Spycam CreepyChamp
pvtpts,#loltyler1,BigBrother !
dimohazjo,#jinnytty,wasted minutes
kojou_yukihira,#jinnytty,KEKWobble 󠀀
dongdongislove,#jinnytty,yyjRun sir
drtruth,#loltyler1,PotFriend
tokeo0,#loltyler1,?????????
nazzor25,#jinnytty,rip bank account PepeLaugh
lightsir_,#jinnytty,OMEGALUL
ziko267,#jinnytty,no no no no no
cafeoxo,#jinnytty,....
growingmids,#loltyler1,T1 do u think u can get challenger in KR??
miqaelchim,#jinnytty,Keep watch on ur phone
paracule_,#jinnytty,20 minutes for hacking
genzo83,#jinnytty,WHERE IS HE GOING
twitchjedi,#jinnytty,TURN OFF UR PHONE
renebaebaeeeee,#jinnytty,OMGGGGG
hedt66,#jinnytty,KEKBye
purpiedrank,#loltyler1,winnable
ernieskz,#jinnytty,HE'S STEALING IT
jerryfanboy,#loltyler1,@loltyler1 is funny cause u and I have the same schedule except I get paid $0 and have have depression
mrelementdj,#jinnytty,KEKBye
grimmscore,#jinnytty,LULW
b04708,#jinnytty,RUNN
ik1gai,#jinnytty,run
law_eth,#jinnytty,RUN
zmatciao,#jinnytty,omg...
kojou_yukihira,#jinnytty,KEKWobble
iampurplegirl,#jinnytty,yyjHey by phone
boyraaa,#jinnytty,so scammm
nickcartman,#jinnytty,You did it yourself you didn't take 20mn
jimmyjammer73,#jinnytty,KEKBye phone
normis11,#loltyler1,!opgg
zoun19,#jinnytty,OMG JINNY WHY U GET SCAMMED SO MUCH
fossabot,#loltyler1,@normis11 https://www.op.gg/summoners/kr/BIG%20TONKA%20T
valkult_yakult,#jinnytty,KEKBye
zeamers,#jinnytty,DONT LEAVE UR PHONE THERE WATCH IT
jondoni,#jinnytty,LULW
tknuke,#jinnytty,?????
pokerdrv,#jinnytty,Good Job Teddy
vincentt23,#jinnytty,he go to other shop
kevke337,#jinnytty,KEKW
alvocadot,#jinnytty,LULW useless sniper LULW useless sniper LULW useless sniper LULW useless sniper LULW useless sniper LULW useless sniper
vibin1nthevoid,#jinnytty,KEKW
almondmilk1254,#loltyler1,HARASS PLAYERS BigBrother .
nathanamus,#loltyler1,"wait, so you need.... BigBrother"
bennymiaka,#jinnytty,PogU sniper save
kojou_yukihira,#jinnytty,KEKWobble 󠀀
dots_wots,#loltyler1,people don't remember the ballance nightmare of season 8
mayzred,#jinnytty,KEKW
maulicoding,#jinnytty,KEKW
fellowyv,#jinnytty,this so sus wtf
wautson,#loltyler1,tyler1O tyler1O tyler1O tyler1O tyler1O
cr33pyhobo,#jinnytty,KEKBye
blueblooper,#loltyler1,@kjusen yayyy :D
shawnhea,#jinnytty,a noob using up 20min to put up a screen protector InuyoFace
englishhq,#jinnytty,they’re stealing all your stuff
zero__horizon,#jinnytty,yyjRun
cptdaws,#loltyler1,Gigachad
hoolixz,#loltyler1,SAY BLYAT PLS
steegersr,#jinnytty,HACK YOUR PHONE
grimmscore,#jinnytty,KEKBye
tonytracks1,#jinnytty,LOCK PHONE LOCK PHONE LOCK PHONE LOCK PHONE LOCK PHONE LOCK PHONE LOCK PHONE LOCK PHONE LOCK PHONE LOCK PHONE LOCK PHONE LOCK PHONE LOCK PHONE LOCK PHONE
dho_st,#jinnytty,HACKERMANS
microwavethief69,#jinnytty,-1 phone KEKBye
airbomb24,#jinnytty,ITS FINE
kojou_yukihira,#jinnytty,KEKWobble
merbs,#jinnytty,OMEGALUL
theorange_13th,#jinnytty,-1 phone
xprocyon_typea,#jinnytty,CHASE HIM please
zay_ih,#jinnytty,KEKWobble
kaitypure,#jinnytty,KEKBye
servampirelily,#jinnytty,RUNNNIN
jorgrim,#jinnytty,KEKBye
jelemiah_,#jinnytty,where is he going LULW
mrelementdj,#jinnytty,byeee
rairai_id,#jinnytty,scamm
lebai_xo,#jinnytty,goddamn jinny
pepelag123,#jinnytty,KEKW
kormikk,#jinnytty,KEKBye PHONE
jjo_ya,#jinnytty,its take 5 min only lol
reeburn,#jinnytty,HURRY
xandos_,#jinnytty,phone KEKBye
nobva,#jinnytty,@Jinnytty its removing ur screen for a cheaper screen
kojou_yukihira,#jinnytty,KEKWobble 󠀀
kha1rll,#jinnytty,sir my phone plsss
milkham,#jinnytty,he gonna HACKERMANS
keychain117,#loltyler1,<3
cemerinmatej,#loltyler1,when the problem says what's the problem
quicksilverdbd,#loltyler1,@almondmilk1254 KKona
medsup7,#jinnytty,BRO JUST STOLE UR PHONE
shelbro,#jinnytty,KEKBye
wumbiie,#loltyler1,@machiek Copeler1
nightbot,#loltyler1,Tyler will stream everyday in Korea!
existenceofenigmas,#jinnytty,fuckin people dude wtf
flyingexcreta,#jinnytty,LOL take me 5 mins
vincentt23,#jinnytty,he go to other shop YEP
ilverism,#loltyler1,BigBrother Clap A bit problematic BigBrother Clap A bit problematic BigBrother Clap A bit problematic BigBrother Clap A bit problematic
humongousfungus7,#loltyler1,good game dogsh1t community
itsnotmyforte,#jinnytty,yoink
coffeeonme,#jinnytty,KEKW
roorzy,#loltyler1,"""ban """"reasons"""" are the worst thing. People who dont type and int dont get ban"
cannoncrasher,#loltyler1,your fans are the only opnes that play still
mky4488,#jinnytty,INSTALL MALWARE 20m
abo98rr_,#jinnytty,yoink
happyfluffyteddy,#jinnytty,call him over
axefire95,#jinnytty,LOL WHITE KNIGHT LOL
hoiman8,#jinnytty,KEKW Malware installation takes 20 KEKWiggle
iiiegible,#loltyler1,"Let’s fuckkng go Big T, you’re built like a Greek god  physically and mentally"
zay_ih,#jinnytty,KEKWobble 󠀀
franktsu,#jinnytty,yyjRun SIRRRRR
cr33pyhobo,#jinnytty,Susge
iampurplegirl,#jinnytty,yyjHey bye phone
nevermore323,#jinnytty,KEKBye my phone now
dr_serious,#jinnytty,20min to read your phone out lol
misteredward,#jinnytty,NUDES
dho_st,#jinnytty,HACKERMANS data
tonytracks1,#jinnytty,LOCK PHONE LOCK PHONE LOCK PHONE LOCK PHONE LOCK PHONE LOCK PHONE LOCK PHONE LOCK PHONE LOCK PHONE
lunatothem,#jinnytty,he downloading your phone lol
kekw_typer,#loltyler1,@machiek cringe
vincentt23,#jinnytty,he  go to other shop YEP
hugochowsky,#jinnytty,USELESS SNIPER
thadoril,#jinnytty,KEKBye
premixclamp67,#jinnytty,-1 Phone
slaveknightjude,#loltyler1,HUHH GWEN IS IMMUNE! HUHH GWEN IS IMMUNE! HUHH GWEN IS IMMUNE!
simge666,#jinnytty,KEK
renu7900,#jinnytty,ask him to di right in front of your eyes!!
mrelementdj,#jinnytty,KEKW
groovypenguin,#jinnytty,poor gal
awkward_goo,#loltyler1,we're modeled in your image BigBrother face of league
tknuke,#jinnytty,WhatChamp wot
ben90888,#loltyler1,Copeler1
kevke337,#jinnytty,YOINK
cracious9,#jinnytty,shit...there goes the parts
crashtestfetus0,#loltyler1,legacy cursor way better
fleinz,#jinnytty,KEKW
naz94x,#jinnytty,RUN SNIPER RUN KEKW
kha1rll,#jinnytty,thats my phonee
jasona01,#jinnytty,KEKBYE
elves1025,#jinnytty,go white knightr
garuna_m6,#jinnytty,KEKBye
steegersr,#jinnytty,SNIPER HELP
tamakins,#jinnytty,he left with phone OMEGALUL
furyhawk,#jinnytty,stalling
kojou_yukihira,#jinnytty,KEKWobble
magrenar,#jinnytty,KEKBye PHONE GONE
gunerjay,#jinnytty,HACKERMANS 20min hack time
mathewcheng01,#jinnytty,yyjRun
maikeldruffy,#jinnytty,.......................
grimmscore,#jinnytty,wtf LULW
inursh,#jinnytty,they change your phone spec LUL
youabsolutelegend,#jinnytty,scammed
6mephistopheles9,#loltyler1,@Hoolixz зачем ему это говорить?и он не увидит -_-
allexxx1996,#jinnytty,KEKBye
vincentt23,#jinnytty,he go to other shop YEP
alvocadot,#jinnytty,LULW useless sniper LULW useless sniper LULW useless sniper LULW useless sniper LULW useless sniper LULW useless sniper LULW useless sniper
servampirelily,#jinnytty,SIR
gnomegila,#jinnytty,scammmm
kingrockychan,#jinnytty,sniper run please!
juggre,#jinnytty,its 12 dollar PainChamp
fofilein_,#loltyler1,PotFriend  do this irl PotFriend
